,benchmark name,total_inputs,total_outputs,is_completed,automaton build duration (ms),is_automaton_built,find dependencies duration (ms),total_dependent_vars,dependency_ratio
184,Cockpitboard,6,19,True,16.0,True,4.0,19,1.0
185,SPIReadClk,3,3,True,6.0,True,0.0,3,1.0
186,ltl2dba07,7,1,True,36.0,True,1.0,0,0.0
187,TwoCountersDisButA1,11,13,True,225456.0,True,44.0,4,0.3076923076923077
188,ltl2dpa03,3,3,True,87.0,True,2.0,1,0.3333333333333333
189,ltl2dba11,2,1,True,12.0,True,1.0,0,0.0
190,lilydemo11,2,2,True,11.0,True,0.0,0,0.0
191,ltl2dpa23,2,2,True,32.0,True,1.0,1,0.5
192,TwoCountersInRangeA1,11,8,True,3513.0,True,6.0,3,0.375
193,KitchenTimerV8,4,11,False,,False,,0,0.0
194,ltl2dba27,1,1,True,14.0,True,0.0,0,0.0
195,TorcsGearing,1,3,True,13.0,True,0.0,1,0.3333333333333333
196,ltl2dpa19,3,3,True,116.0,True,4.0,1,0.3333333333333333
197,TwoCountersInRangeM2,11,8,True,9969.0,True,8.0,3,0.375
